Date,Open,Change %
2018-05-11,9026,-6.84
2018-05-10,9319,-3.15
2018-05-09,9194,1.33
2018-05-08,9373,-2.49
2018-05-07,9651,-2.33
2018-05-06,9859,-2.0
2018-05-05,9709,1.49
2018-05-04,9747,-0.42
2018-05-03,9244,5.48
2018-05-02,9076,1.85
2018-05-01,9245,-1.84
2018-04-30,9415,-1.8
2018-04-29,9352,0.67
2018-04-28,8940,4.6
2018-04-27,9282,-3.73
2018-04-26,8874,4.67
2018-04-25,9645,-8.01
2018-04-24,8952,7.73
2018-04-23,8809,1.66
2018-04-22,8923,-1.3
2018-04-21,8867,0.63
2018-04-20,8292,6.95
2018-04-19,8179,1.37
2018-04-18,7908,3.41
2018-04-17,8070,-2.0
2018-04-16,8362,-3.51
2018-04-15,8004,4.49
2018-04-14,7891,1.48
2018-04-13,7926,-0.49
2018-04-12,6963,13.85
2018-04-11,6855,1.56
2018-04-10,6782,1.08
2018-04-09,7035,-3.54
2018-04-08,6905,1.81
2018-04-07,6624,4.25
2018-04-06,6783,-2.33
2018-04-05,6808,-0.4
2018-04-04,7423,-8.29
2018-04-03,7067,5.03
2018-04-02,6825,3.56
2018-04-01,6939,-1.63
2018-03-31,6856,1.23
2018-03-30,7132,-3.86
2018-03-29,7955,-10.38
2018-03-28,7803,1.96
2018-03-27,8146,-4.2
2018-03-26,8474,-3.89
2018-03-25,8549,-0.87
2018-03-24,8917,-4.14
2018-03-23,8725,2.18
2018-03-22,8903,-2.02
2018-03-21,8912,-0.08
2018-03-20,8614,3.43
2018-03-19,8200,5.07
2018-03-18,7873,4.14
2018-03-17,8198,-5.0
2018-03-16,8264,0.3
2018-03-15,8210,0.66
2018-03-14,9154,-10.32
2018-03-13,9138,0.19
2018-03-12,9535,-4.12
2018-03-11,8732,8.76
2018-03-10,9216,-4.94
2018-03-09,9301,-0.89
2018-03-08,9910,-6.09
2018-03-07,10779,-7.23
2018-03-06,11314,-5.78
2018-03-05,11415,-0.75
2018-03-04,11402,0.12
2018-03-03,10822,5.31
2018-03-02,10904,-0.7
2018-03-01,10335,5.52
2018-02-28,10584,-2.46
2018-02-27,10287,3.01
2018-02-26,9590,7.3
2018-02-25,9703,-1.23
2018-02-24,10163,-4.58
2018-02-23,9840,3.34
2018-02-22,10470,-6.03
2018-02-21,11240,-6.81
2018-02-20,11169,0.62
2018-02-19,10396,7.41
2018-02-18,11073,-6.09
2018-02-17,10177,8.79
2018-02-16,10031,1.41
2018-02-15,9475,5.92
2018-02-14,8542,10.97
2018-02-13,8906,-4.09
2018-02-12,8083,10.17
2018-02-11,8559,-5.58
2018-02-10,8697,-1.61
2018-02-09,8163,6.56
2018-02-08,7595,7.5
2018-02-07,7693,-1.38
2018-02-06,6939,10.99
2018-02-05,8220,-15.61
2018-02-04,9241,-11.03
2018-02-03,8894,3.91
2018-02-02,9179,-3.14
2018-02-01,10266,-10.56
2018-01-31,10166,0.98
2018-01-30,11244,-9.59
2018-01-29,11794,-4.67
2018-01-28,11471,2.86
2018-01-27,11118,3.14
2018-01-26,11203,-0.76
2018-01-25,11439,-2.18
2018-01-24,10899,5.04
2018-01-23,10869,0.35
2018-01-22,11597,-6.3
2018-01-21,12857,-9.83
2018-01-20,11579,11.04
2018-01-19,11229,2.98
2018-01-18,11202,0.47
2018-01-17,11357,-1.49
2018-01-16,13704,-17.05
2018-01-15,13695,0.02
2018-01-14,14291,-4.18
2018-01-13,13896,2.92
2018-01-12,13529,2.6
2018-01-11,15046,-10.02
2018-01-10,14778,1.79
2018-01-09,14976,-1.32
2018-01-08,16228,-7.71
2018-01-07,17174,-5.5
2018-01-06,16954,1.28
2018-01-05,15180,11.69
2018-01-04,15156,0.15
2018-01-03,14754,2.73
